谢永林,董事长,1968,男,博士研究生,000001
胡跃飞,"执行董事,行长",1962,男,硕士及研究生,000001
姚贵平,执行董事,1961,男,本科,000001
郭世邦,执行董事,1965,男,博士研究生,000001
蔡方方,非执行董事,1974,女,硕士及研究生,000001
陈心颖,非执行董事,1977,女,硕士及研究生,000001
姚波,非执行董事,1971,男,硕士及研究生,000001
叶素兰,非执行董事,1956,女,本科,000001
郭建,非执行董事,1964,男,硕士及研究生,000001
王春汉,独立董事,1951,男,大专及其他,000001
韩小京,独立董事,1955,男,硕士及研究生,000001
王松奇,独立董事,1952,男,博士研究生,000001
杨如生,独立董事,1968,男,硕士及研究生,000001
郭田勇,独立董事,1968,男,博士研究生,000001
邱伟,监事长,1962,男,博士研究生,000001
储一昀,外部监事,1964,男,博士研究生,000001
周建国,外部监事,1955,男,硕士及研究生,000001
车国宝,监事,1949,男,本科,000001
骆向东,外部监事,1953,男,硕士及研究生,000001
王岚,职工监事,1970,女,硕士及研究生,000001
曹立新,职工监事,1968,男,本科,000001
吴鹏,副行长,1965,男,博士研究生,000001
杨华,副行长,1969,男,博士研究生,000001
何之江,副行长,1965,男,硕士及研究生,000001
周强,董秘,1972,男,博士研究生,000001
项有志,首席财务官,1964,男,博士研究生,000001
王石,董事局名誉主席,1951,男,本科,000002
郁亮,"董事局主席,总裁,首席执行官",1965,男,硕士及研究生,000002
林茂德,董事局副主席,1956,男,本科,000002
张旭,"董事,执行副总裁,首席运营官",1963,男,硕士及研究生,000002
王文金,"董事,执行副总裁,首席风险官",1966,男,硕士及研究生,000002
孙盛典,董事,1955,男,博士研究生,000002
陈贤军,董事,1972,男,硕士及研究生,000002
肖民,董事,1963,男,本科,000002
康典,独立董事,1948,男,硕士及研究生,000002
刘姝威,独立董事,1952,女,硕士及研究生,000002
吴嘉宁,独立董事,1960,男,硕士及研究生,000002
李强,独立董事,1972,男,硕士及研究生,000002
解冻,监事会主席,1965,男,博士研究生,000002
郑英,监事,1970,女,硕士及研究生,000002
周清平,职工监事,1969,男,硕士及研究生,000002
孙嘉,"财务负责人,执行副总裁,首席财务官",1978,男,硕士及研究生,000002
朱旭,董秘,1975,女,硕士及研究生,000002
李林琳,"总经理,董事长",1984,女,硕士及研究生,000004
黄翔,"董事,常务副总经理",1966,男,硕士及研究生,000004
徐文苏,"财务总监,董事,董秘",1977,男,大专及其他,000004
徐愈富,董事,1978,男,本科,000004
刘多宏,董事,1967,男,大专及其他,000004
吴涤非,董事,1969,男,本科,000004
孙俊英,独立董事,1961,女,硕士及研究生,000004
苏晓鹏,独立董事,1977,男,本科,000004
曾凡跃,独立董事,1963,男,大专及其他,000004
林绮霞,监事长, ,女,大专及其他,000004
阮旭里,监事,1991,男,硕士及研究生,000004
唐银萍,职工监事,1986,女,大专及其他,000004
丁芃,董事局主席,1951,女,本科,000005
江津,董事局副主席,1963,女,硕士及研究生,000005
郑列列,"总裁,董事",1954,男,博士研究生,000005
丹尼尔·保泽方,"总裁助理,董事",1975,男,本科,000005
雍正峰,"董事,财务总监",1970,男,本科,000005
陈斌,董事,1968,男,本科,000005
吕卫东,"职工监事,董事",1967,女,本科,000005
王行利,董事,1969,男,本科,000005
王洁萍,董事,1971,女,硕士及研究生,000005
冯绍津,独立董事,1974,女,本科,000005
樊勇,独立董事,1972,男,硕士及研究生,000005
陈运森,独立董事,1985,男,博士研究生,000005
林功实,独立董事,1937,男,本科,000005
武良成,独立董事,1962,男,博士研究生,000005
赵剑,职工董事,1968,女,大专及其他,000005
刘丽萍,监事会召集人,1963,女,本科,000005
熊金芳,监事,1963,女,本科,000005
刘敏儿,监事,1972,女,大专及其他,000005
汪健飞,监事,1973,男,本科,000005
罗晓春,董秘,1967,男,大专及其他,000005
赵宏伟,董事长,1968,男,本科,000006
朱新宏,"总裁,董事",1960,男,硕士及研究生,000006
于冰,"董事,财务总监",1967,女,硕士及研究生,000006
李建春,董事,1964,男,博士研究生,000006
曲咏海,独立董事,1971,男,EMBA,000006
陈英革,独立董事,1968,男,硕士及研究生,000006
孔祥云,独立董事,1954,男,硕士及研究生,000006
陈强,监事会主席,1965,男,本科,000006
张磊,监事,1968,男,硕士及研究生,000006
谢向荣,职工监事,1974,男,本科,000006
杨晓东,副总裁,1973,男,本科,000006
方东红,副总裁,1967,男,硕士及研究生,000006
李伟,副总裁,1973,男,本科,000006
杜汛,董秘,1975,女,本科,000006
袁坚,董事长,1983,男,硕士及研究生,000007
赵鹏,"副董事长,财务总监",1979,男,本科,000007
智德宇,"总经理,董事",1974,女,本科,000007
周原,"副总经理,董事",1985,男,本科,000007
吴广,董事,1986,男,本科,000007
吴日松,董事,1970,男, ,000007
卢剑波,独立董事,1968,男,硕士及研究生,000007
胡开梁,独立董事,1978,男,硕士及研究生,000007
徐栋,独立董事,1983,男,硕士及研究生,000007
孙华,监事会召集人,1969,男,大专及其他,000007
马斌,监事,1993,男,本科,000007
李代宏,职工监事,1986,男,硕士及研究生,000007
陈伟彬,董秘,1986,男,本科,000007
