2018-01-19,刘婷,-14100,--,14.99,监事,为甘煜配偶,竞价交易,000001
2018-01-18,刘婷,14100,--,14.43,监事,为甘煜配偶,竞价交易,000001
2018-01-12,车国金,-1700,--,13.49,监事,为车国宝兄弟姐妹,竞价交易,000001
2018-01-11,车国金,1700,--,13.31,监事,为车国宝兄弟姐妹,竞价交易,000001
2017-11-20,吴烁,-2000,--,13.29,高管,为吴鹏子女,竞价交易,000001
2017-11-17,吴烁,2000,--,13.28,高管,为吴鹏子女,竞价交易,000001
2017-06-27,邱利华,-2100,--,9.29,监事,为周建国配偶,竞价交易,000001
2017-06-22,邱利华,2100,--,9.30,监事,为周建国配偶,竞价交易,000001
2014-11-28,白国华,-7680,--,12.25,高管,为孙先朗配偶,竞价交易,000001
2014-08-12,由晓红,-60000,1438,10.59,高管,为吴鹏配偶,竞价交易,000001
2016-12-21,孙建一,-75901,389383,20.38,独立董事,为本人,竞价交易,000002
2016-12-19,孙建一,-53893,465284,21.55,独立董事,为本人,竞价交易,000002
2015-10-30,王文金,30700,1654291,13.70,董事、高管,为本人,竞价交易,000002
2015-01-15,王文金,-300000,1623591,13.41,董事、高管,为本人,竞价交易,000002
2014-12-31,王文金,-200000,1923591,13.10,董事、高管,为本人,竞价交易,000002
2014-12-31,解冻,-496915,1490745,12.67,监事,为本人,竞价交易,000002
2014-12-30,王文金,-100000,2123591,12.80,董事、高管,为本人,竞价交易,000002
2014-12-11,梁洁,-8500,--,12.11,证券事务代表,为本人,竞价交易,000002
2014-12-10,梁洁,-14000,8500,11.96,证券事务代表,为本人,竞价交易,000002
2014-12-09,梁洁,-19500,14000,12.28,证券事务代表,为本人,竞价交易,000002
2015-09-07,唐银萍,100,100,27.51,监事,为本人,竞价交易,000004
2015-09-07,徐文苏,8000,8000,27.54,董事、高管,为本人,竞价交易,000004
2015-08-25,李林琳,1210000,1210000,30.11,董秘、董事、高管,为本人,竞价交易,000004
2011-09-30,江玉明,2300,2300,10.48,董事,为本人,竞价交易,000004
2007-06-06,张华,-14170,42510,8.31,"董事,离职半年内",为本人,二级市场买卖,000004
2017-05-02,刘敏倩,3000,--,5.75,监事,为刘敏儿兄弟姐妹,竞价交易,000005
2014-08-26,郑钢钢,-300,--,2.62,董事、高管,为郑列列兄弟姐妹,竞价交易,000005
2010-07-27,夏惠黔,-10000,--,4.31,董事,为宋孝刚配偶,竞价交易,000005
2010-07-26,夏惠黔,10000,--,4.27,董事,为宋孝刚配偶,竞价交易,000005
2008-04-24,郑钢钢,300,--,5.45,董事、高管,为郑列列兄弟姐妹,二级市场买卖,000005
2008-03-07,宋芳,-400,--,8.00,董事,为宋孝刚子女,二级市场买卖,000005
2008-03-04,任浩挺,-100,--,7.55,董事,为任胜健子女,二级市场买卖,000005
2008-03-03,任浩挺,100,100,7.40,董事,为任胜健子女,二级市场买卖,000005
