000001,办理人民币存、贷、结算、汇兑业务;人民币票据承兑和贴现;各项信托业务;经监管机构批准发行或买卖人民币有价证券;发行金融债券;代理发行、代理兑付、承销政府债券;买卖政府债券;外汇存款、汇款;境内境外借款;从事同业拆借;外汇借款;外汇担保;在境内境外发行或代理发行外币有价证券;买卖或代客买卖外汇及外币有价证券、自营外汇买卖;贸易、非贸易结算;办理国内结算;国际结算;外币票据的承兑和贴现;外汇贷款;资信调查、咨询、见证业务;保险兼业代理业务;代理收付款项;黄金进口业务;提供信用证服务及担保;提供保管箱服务;外币兑换;结汇、售汇;信用卡业务;经有关监管机构批准或允许的其他业务。
000002,房地产开发;兴办实业(具体项目另行申报);国内商业、物资供销业(不含专营、专控、专卖商品);进出口业务(按深经发审证字第113号外贸企业审定证书规定办理)。
000004,通讯、计算机、软件、新材料、生物技术和生物特征识别技术、新药、生物制品、医用检测试剂和设备的研究与开发;信息咨询;计算机软件及生物技术的培训(以上各项不含限制项目)、兴办实业(具体项目另行申报)、房地产开发与经营。
000005,生产经营各种喷胶布、针刺布、缝编尼纺布、粘合布、纤维裥棉色织、印花布以及服装、服装面料、辅料、配料、纺织制衣设备、仪器仪表、轻纺原材料
000006,土地开发、房产销售及租赁、物业管理。
000007,"投资兴办实业(具体项目另行申报);国内商业、物资供销业(不含专营、专控、专卖商品);自有物业租赁;环保产品的技术开发;信息咨询(不含限制项目);项目投资(不含限制项目);矿业投资;矿产品的销售(不含专营、专控、专卖商品),经营进出口业务(具体内容以工商部门核准的内容为准);投资金融服务项目并进行投资管理;从事其他投资与投资管理(具体内容以工商部门核准的内容为准)。"
000008,"轨道交通、计算机网络的技术开发、技术咨询、技术转让、技术服务;销售开发后的产品;计算机系统服务;货物进出口;技术进出口;代理进出口;项目投资;物业管理;城市轨道交通、客运服务。(企业依法自主选择经营项目,开展经营活动;依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事本市产业政策禁止和限制类项目的经营活动。)(以工商登记机关核定的为准)"
000009,"国内商业,物资供销业(不含专营、专控、专卖商品);投资兴办工业,引进三来一补;进出口贸易业务(按深贸管审证第094号文规定办理);房地产开发、仓储、运输、酒店等服务业,文化业。"
000010,"高新技术项目的开发及相关产品的技术服务,计算机网络系统工程、计算机软、硬件的技术开发、生产(具体项目另行申报)、安装及系统集成,电子技术产品的技术开发、生产,信息咨询服务(以上不含限制项目);相关产品的销售及其他国内商业、物资供销业(不含专营、专控、专卖商品);投资兴办实业、高科技项目(具体项目另行申报)。经营深贸管审证字第207 号《审定书》规定的进出口项目。研究、开发、种植、销售园林植物;园林环境景观的设计、园林绿化工程和园林维护;销售建筑材料、园林机械设备、体育用品;技术开发;投资与资产管理。"
000011,"房地产开发及商品房销售,商品楼宇的建筑、管理,房屋租赁,建设监理,国内商业、物资供销业(不含专营、专卖、专控商品)。"
000012,"进行平板玻璃、工程玻璃等节能建筑材料,硅材料、光伏组件等可再生能源产品及精细玻璃、结构陶瓷等新型材料和高科技产品的生产、制造和销售(涉及生产许可证、环保批文的项目由各子公司另行申报),为各子公司提供经营决策、管理咨询、市场信息、技术支持与岗位培训等方面的相关协调和服务。”"
000014,"在合法取得土地使用权范围内从事房地产开发经营业务;国内商业,物资供销业(不含专营、专控、专卖商品);兴办实业(具体项目另报);自有物业租赁。"
